time,open,high,low,close,Volume,Volume MA
-630927000,16.66,16.66,16.66,16.66,1260000,63000
-630840600,16.85,16.85,16.85,16.85,1890000,157500
-630754200,16.93,16.93,16.93,16.93,2550000,285000
-630667800,16.98,16.98,16.98,16.98,2010000,385500
-630408600,17.08,17.08,17.08,17.08,2520000,511500
-630322200,17.030001,17.030001,17.030001,17.030001,2160000,619500
-630235800,17.09,17.09,17.09,17.09,2630000,751000
-630149400,16.76,16.76,16.76,16.76,2970000,899500
-630063000,16.67,16.67,16.67,16.67,3330000,1066000
-629803800,16.719999,16.719999,16.719999,16.719999,1460000,1139000
-629717400,16.860001,16.860001,16.860001,16.860001,1790000,1228500
-629631000,16.85,16.85,16.85,16.85,1570000,1307000
-629544600,16.870001,16.870001,16.870001,16.870001,1170000,1365500
-629458200,16.9,16.9,16.9,16.9,1440000,1437500
-629199000,16.92,16.92,16.92,16.92,1340000,1504500
-629112600,16.860001,16.860001,16.860001,16.860001,1250000,1567000
-629026200,16.74,16.74,16.74,16.74,1700000,1652000
-628939800,16.73,16.73,16.73,16.73,1150000,1709500
-628853400,16.82,16.82,16.82,16.82,1250000,1772000
-628594200,17.02,17.02,17.02,17.02,1640000,1854000
-628507800,17.049999,17.049999,17.049999,17.049999,1690000,1875500
-628421400,17.049999,17.049999,17.049999,17.049999,1810000,1871500
-628335000,17.23,17.23,17.23,17.23,2040000,1846000
-628248600,17.290001,17.290001,17.290001,17.290001,2210000,1856000
-627989400,17.32,17.32,17.32,17.32,1490000,1804500
-627903000,17.23,17.23,17.23,17.23,1360000,1764500
-627816600,17.209999,17.209999,17.209999,17.209999,1470000,1706500
-627730200,17.280001,17.280001,17.280001,17.280001,1810000,1648500
-627643800,17.24,17.24,17.24,17.24,1790000,1571500
-627298200,17.059999,17.059999,17.059999,17.059999,2210000,1609000
-627211800,17.059999,17.059999,17.059999,17.059999,1730000,1606000
-627125400,16.99,16.99,16.99,16.99,1920000,1623500
-627039000,17.15,17.15,17.15,17.15,1940000,1662000
-626779800,17.200001,17.200001,17.200001,17.200001,1420000,1661000
-626693400,17.17,17.17,17.17,17.17,1260000,1657000
-626520600,17.209999,17.209999,17.209999,17.209999,1310000,1660000
-626434200,17.280001,17.280001,17.280001,17.280001,1710000,1660500
-626175000,17.280001,17.280001,17.280001,17.280001,1410000,1673500
-626088600,17.219999,17.219999,17.219999,17.219999,1310000,1676500
-626002200,17.24,17.24,17.24,17.24,1410000,1665000
-625915800,17.23,17.23,17.23,17.23,1340000,1647500
-625829400,17.290001,17.290001,17.290001,17.290001,1520000,1633000
-625570200,17.32,17.32,17.32,17.32,1470000,1604500
-625483800,17.200001,17.200001,17.200001,17.200001,1590000,1573500
-625397400,17.190001,17.190001,17.190001,17.190001,1360000,1567000
-625311000,17.07,17.07,17.07,17.07,1330000,1565500
-625224600,17.09,17.09,17.09,17.09,1260000,1555000
-624965400,17.120001,17.120001,17.120001,17.120001,1060000,1517500
-624879000,17.25,17.25,17.25,17.25,1140000,1485000
-624792600,17.450001,17.450001,17.450001,17.450001,1830000,1466000
-624706200,17.49,17.49,17.49,17.49,2060000,1482500
-624619800,17.450001,17.450001,17.450001,17.450001,1600000,1466500
-624360600,17.440001,17.440001,17.440001,17.440001,1430000,1441000
-624274200,17.450001,17.450001,17.450001,17.450001,1400000,1440000
-624187800,17.549999,17.549999,17.549999,17.549999,2010000,1477500
-624101400,17.559999,17.559999,17.559999,17.559999,2020000,1513000
-624015000,17.559999,17.559999,17.559999,17.559999,1570000,1506000
-623755800,17.459999,17.459999,17.459999,17.459999,1930000,1532000
-623669400,17.530001,17.530001,17.530001,17.530001,1780000,1555500
-623583000,17.440001,17.440001,17.440001,17.440001,2090000,1589500
-623496600,17.299999,17.299999,17.299999,17.299999,2370000,1641000
-623410200,17.290001,17.290001,17.290001,17.290001,1880000,1659000
-623151000,17.530001,17.530001,17.530001,17.530001,1570000,1664000
-623064600,17.549999,17.549999,17.549999,17.549999,2010000,1685000
-622978200,17.629999,17.629999,17.629999,17.629999,1430000,1688500
-622891800,17.780001,17.780001,17.780001,17.780001,2000000,1722000
-622546200,17.85,17.85,17.85,17.85,2070000,1762500
-622459800,17.75,17.75,17.75,17.75,2010000,1810000
-622373400,17.940001,17.940001,17.940001,17.940001,2010000,1853500
-622287000,17.98,17.98,17.98,17.98,2410000,1882500
-622200600,17.959999,17.959999,17.959999,17.959999,2750000,1917000
-621941400,17.879999,17.879999,17.879999,17.879999,2520000,1963000
-621855000,18.030001,18.030001,18.030001,18.030001,3320000,2057500
-621768600,18.049999,18.049999,18.049999,18.049999,2950000,2135000
-621682200,17.93,17.93,17.93,17.93,2590000,2164000
-621595800,17.959999,17.959999,17.959999,17.959999,2710000,2198500
-621336600,17.83,17.83,17.83,17.83,2310000,2235500
-621250200,17.83,17.83,17.83,17.83,1830000,2230500
-621163800,17.76,17.76,17.76,17.76,1880000,2235500
-621077400,17.860001,17.860001,17.860001,17.860001,2070000,2234500
-620991000,17.959999,17.959999,17.959999,17.959999,2190000,2225500
-620735400,18.219999,18.219999,18.219999,18.219999,2390000,2251000
-620649000,18.110001,18.110001,18.110001,18.110001,2250000,2285000
-620562600,18.27,18.27,18.27,18.27,2120000,2290500
-620476200,18.120001,18.120001,18.120001,18.120001,2150000,2326500
-620389800,18.219999,18.219999,18.219999,18.219999,1800000,2316500
-620130600,18.27,18.27,18.27,18.27,1680000,2297000
-620044200,18.27,18.27,18.27,18.27,1720000,2282500
-619957800,18.290001,18.290001,18.290001,18.290001,1880000,2276000
-619871400,18.290001,18.290001,18.290001,18.290001,1750000,2243000
-619785000,18.18,18.18,18.18,18.18,1790000,2195000
-619525800,18.26,18.26,18.26,18.26,1220000,2130000
-619439400,18.440001,18.440001,18.440001,18.440001,1730000,2050500
-619353000,18.52,18.52,18.52,18.52,2020000,2004000
-619266600,18.559999,18.559999,18.559999,18.559999,5240000,2136500
-619180200,18.68,18.68,18.68,18.68,2110000,2106500
-618921000,18.6,18.6,18.6,18.6,1620000,2072000
-618834600,18.709999,18.709999,18.709999,18.709999,1460000,2053500
-618748200,18.690001,18.690001,18.690001,18.690001,1850000,2052000
-618661800,18.690001,18.690001,18.690001,18.690001,1480000,2022500
-618575400,18.67,18.67,18.67,18.67,1330000,1979500
-618316200,18.719999,18.719999,18.719999,18.719999,1110000,1915500
-618143400,18.780001,18.780001,18.780001,18.780001,1530000,1879500
-618057000,18.77,18.77,18.77,18.77,1580000,1852500
-617970600,18.790001,18.790001,18.790001,18.790001,1450000,1817500
-617711400,18.6,18.6,18.6,18.6,1630000,1809000
-617625000,18.879999,18.879999,18.879999,18.879999,2250000,1837500
-617538600,18.93,18.93,18.93,18.93,1750000,1839000
-617452200,19.139999,19.139999,19.139999,19.139999,1780000,1834000
-617365800,19.26,19.26,19.26,19.26,2130000,1853000
